Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ireland,IRL,1578000,1503000,1559000,1457000,1198000,1172000,1020000,770000,580000,432000,368000,422000,448000,449000,434000,441000,498000,677000,1261000,1453000,1535000,1545000,1373000,1186000,991000,837000,671000,574000,495000,562000,663000
"Iran, Islamic Rep.",IRN,1110000,1083000,1044000,1005000,957000,910000,978000,1038000,1102000,1157000,1228000,1280000,1151000,1030000,1181000,1152000,1077000,1063000,1211000,1368000,1249000,1227000,1060000,1068000,1117000,1262000,1223000,1219000,1074000,1217000,1146000
Iraq,IRQ,913000,891000,889000,897000,896000,887000,877000,876000,875000,873000,881000,885000,882000,861000,871000,865000,865000,848000,839000,825000,812000,796000,926000,1059000,1073000,1082000,1302000,1297000,1286000,1409000,1419000
Iceland,ISL,255000,431000,526000,533000,520000,360000,372000,307000,218000,194000,187000,299000,400000,403000,255000,283000,225000,295000,722000,756000,703000,600000,538000,490000,398000,298000,274000,270000,351000,548000,540000
Israel,ISR,1339000,1408000,1274000,993000,878000,846000,975000,1075000,1118000,1110000,1181000,1289000,1351000,1303000,1134000,1071000,938000,770000,953000,848000,714000,686000,621000,589000,525000,480000,422000,400000,380000,433000,505000
Italy,ITA,1010000,933000,1024000,1109000,1167000,1187000,1200000,1212000,1169000,1084000,960000,921000,887000,787000,773000,678000,608000,672000,775000,836000,836000,1065000,1215000,1268000,1190000,1169000,1121000,1061000,995000,916000,983000
Jamaica,JAM,1574000,1575000,1632000,1534000,1623000,1601000,1635000,1550000,1574000,1554000,1493000,1419000,1173000,1221000,1126000,1032000,975000,1059000,1136000,1237000,1270000,1393000,1525000,1374000,1351000,1319000,1163000,910000,769000,948000,918000
Jordan,JOR,1951000,1927000,1970000,1717000,1460000,1370000,1369000,1370000,1371000,1370000,1470000,1530000,1450000,1458000,1480000,1400000,1310000,1270000,1290000,1250000,1290000,1220000,1260000,1190000,1308000,1528000,1814000,1827000,1681000,1903000,1925000
Japan,JPN,210000,220000,250000,290000,320000,340000,340000,410000,470000,475000,502000,539000,525000,473000,445000,419000,389000,400000,507000,510000,455000,436000,400000,360000,340000,310000,280000,240000,240000,280000,280000
Kazakhstan,KAZ,90000,100000,111000,754000,1098000,1296000,1301000,1313000,1346000,1275000,1043000,933000,878000,840000,813000,779000,726000,663000,655000,577000,539000,529000,520000,506000,493000,496000,490000,485000,480000,489000,490000
Kenya,KEN,312000,312000,310000,308000,306000,305000,306000,303000,302000,302000,299000,300000,297000,294000,292000,291000,289000,292000,288000,284000,284000,283000,281000,280000,278000,276000,351000,425000,501000,573000,574000
Kyrgyz Republic,KGZ,100000,110000,340000,470000,560000,730000,750000,890000,840000,754000,784000,1255000,992000,853000,811000,827000,810000,822000,841000,864000,853000,843000,833000,805000,756000,721000,689000,689000,692000,871000,910000
Cambodia,KHM,73000,75000,80000,133000,78000,84000,91000,94000,90000,97000,103000,110000,111000,113000,113000,121000,126000,82000,58000,77000,58000,51000,44000,69000,39000,72000,14000,14000,15000,33000,61000
"Korea, Rep.",KOR,241000,251000,288000,248000,206000,205000,261000,696000,634000,406000,370000,305000,335000,342000,348000,325000,301000,296000,336000,332000,299000,281000,275000,308000,355000,365000,365000,382000,375000,393000,353000
Kuwait,KWT,88000,81000,80000,70000,70000,70000,70000,70000,70000,80000,80000,110000,130000,170000,150000,130000,150000,175000,164000,182000,204000,232000,262000,290000,220000,216000,220000,216000,217000,354000,371000
Latin America & Caribbean (excluding high income),LAC,584000,590000,596000,635000,760000,782000,767000,810000,879000,870000,839000,849000,833000,789000,765000,709000,671000,636000,737000,670000,641000,638000,629000,608000,666000,789000,818000,805000,809000,1016000,1012000
